FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
23134,4575,1,20,4410240,V4140,2551707,6688138,2551708,6688093,Osumakuja,Träffgränden,Tikkurilantie,Dickursbyvägen,1,1,1,04,01
23135,4588,1,34,4960218,V9618,2561258,6687823,2561255,6687845,Kivipyykintie,Stenrösvägen,It Valkoisenlähteent,Ö Vitbäcksvägen,0,1,1,04,01
23136,4588B,2,10,4930201,V9301,2561027,6684517,2561043,6684505,Vaaralantie,Fagerstavägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23137,4576,1,38,4340206,V3406,2550869,6692927,2550857,6692907,Tähtitaivaantie,Stjärnhimmelsvägen,Katriinantie,Katrinevägen,1,1, ,04,01
23138,4588,1,35,4960206,V9606,2561633,6687879,2561630,6687899,Merkkipuuntie,Råträdsvägen,It Valkoisenlähteent,Ö Vitbäcksvägen,0,1,1,04,01
23139,4576,1,39,4340220,V3420,2550683,6693187,2550659,6693179,Hanskallio,Hanskallio,Katriinantie,Katrinevägen,1,1, ,04,01
23140,4575,1,21,4410242,V4142,2551305,6688255,2551289,6688228,Postimiehenkuja,Postmansgränden,Tikkurilantie,Dickursbyvägen,1,1,1,04,01
23141,4588B,2,11,4930205,V9305,2560882,6684300,2560903,6684287,Vaaralan Talkootie,Fagersta Talkovägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23142,4575,1,22,4410254,V4154,2550851,6688379,2550878,6688375,Horslabergen,Horslabergen,Caravellentie,Caravellevägen,1,1,1,04,01
23143,4588B,2,12,4930209,V9309,2560689,6684011,2560712,6683994,Kirkkokuja,Kyrkogränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23144,4576,1,40,4340204,V3404,2550046,6693475,2550049,6693446,Kesäkyläntie,Sommarbovägen,Katriinantie,Katrinevägen,1,1, ,04,01
23145,4588,1,36,4960207,V9607,2561764,6687850,2561778,6687862,Pohjankuja,Norrgränden,Pohjolantie,Norrvägen,0,1,1,04,01
23146,4575,1,23,4410253,V4153,2550873,6687736,2550884,6687738,Kalliosola pohjoinen,Bergpass nord,Caravellentie,Caravellevägen,1,1,1,04,01
23147,4576,1,41,4340202,V3402,2549707,6693436,2549712,6693411,Kuusistontie,Kuusistovägen,Katriinantie,Katrinevägen,1,1, ,04,01
23148,4588B,2,13,4930210,V9310,2560431,6683888,2560448,6683872,Rajatie,Råvägen,Kuussillantie,Sexbrovägen,0,1,1,04,01
23149,4588,1,37,4960211,V9611,2562204,6687888,2562192,6687908,Kontiomäentie,Björnbacksvägen,Pohjolantie,Norrvägen,0,1,1,04,01
23150,4575,1,24,4410258,V4158,2550861,6687535,2550878,6687533,Kalliosola etelä,Bergpass söder,Caravellentie,Caravellevägen,1,1,1,04,01
23151,4576,1,42,4330208,V3308,2548960,6693288,2548959,6693261,Lampurintie,Lampurivägen,Katriinantie,Katrinevägen,1,1, ,04,01
23152,4588B,2,14,1414148,H3512,2560183,6683651,2560209,6683644,Somerikkopolku,Klapperstensstigen,Somerikkotie,Klapperstensvägen,0,1,1,01,01
23153,4575,1,25,4410232,V4132,2550810,6687394,2550816,6687374,Caravellentie,Caravellevägen,Tuupakantie,Stubbackavägen,1,1,1,04,01
23154,4588,1,38,4980201,V9801,2562406,6687893,2562412,6687912,Oravamäentie,Ekorrbacksvägen,Pohjolantie,Norrvägen,0,1,1,04,01
23155,4576,1,43,4330206,V3306,2548554,6693303,2548551,6693278,Seutulan koulu,Seutulan koulu,Katriinantie,Katrinevägen,1,1, ,04,01
23156,4576,1,44,4330213,V3313,2548274,6693313,2548275,6693291,Katriinankuja,Katrinegränden,Katriinantie,Katrinevägen,1,1,0,04,01
23157,4588,1,39,4980203,V9803,2562626,6687821,2562639,6687839,Nikuksentie,Nikuksvägen,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23158,4575,1,26,4410230,V4130,2550293,6687455,2550284,6687435,Ritakuja,Fällgränden,Tuupakantie,Stubbackavägen,1,1,1,04,01
23159,4588B,2,15,1414146,H3510,2560059,6683250,2560080,6683244,Louhikkotie,Hölstervägen,Somerikkotie,Klapperstensvägen,0,1,1,05,01
23160,4576,1,45,4330202,V3302,2547930,6693212,2547955,6693219,Seutula,Sjöskog,Riipiläntie,Ripubyvägen,1,1, ,04,01
23161,4575,1,27,4410228,V4128,2550050,6687547,2550050,6687526,Kärkipuisto,Spetsparken,Tuupakantie,Stubbackavägen,1,1,1,04,01
23162,4588,1,40,4980205,V9805,2562901,6687491,2562914,6687516,Tuliniementie,Tuliniemivägen,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23163,4588B,2,16,4950201,V9501,2560411,6682647,2560419,6682669,Seivästie,Hoppstavsvägen,Maratontie,Maratonvägen,0,1,1,04,01
23164,4576,1,46,4240212,V2412,2547928,6692690,2547939,6692691,Forsbackantie,Forsbackavägen,Riipiläntie,Ripubyvägen,1,1, ,04,01
23165,4575,1,28,4410226,V4126,2549743,6687472,2549753,6687452,Kärkikuja,Spjutspetsgränden,Tuupakantie,Stubbackavägen,1,1,1,04,01
23166,4588B,2,17,4950205,V9505,2560882,6682550,2560882,6682570,Viestitie,Stafettvägen,Maratontie,Maratonvägen,0,1,1,04,01
23167,4576,1,47,4240202,V2402,2547905,6692332,2547928,6692331,Riipiläntie 63,Ripubyvägen 63,Riipiläntie,Ripubyvägen,1,1, ,04,01
23168,4588,1,41,4980219,V9819,2563031,6687407,2563046,6687430,Sepänrinne,Smedsbrinken,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23169,4576,1,48,4240210,V2410,2547856,6692038,2547876,6692036,Rajalantie,Rajalavägen,Riipiläntie,Ripubyvägen,1,1, ,04,01
23170,4575,1,29,4410224,V4124,2549413,6687608,2549409,6687591,Tuupakankuja,Stubbackagränden,Tuupakantie,Stubbackavägen,1,1,1,04,01
23171,4588B,2,18,4950207,V9507,2561095,6682483,2561118,6682478,Rajakyläntie,Råbyvägen,Rajakyläntie,Råbyvägen,0,1,1,04,01
23172,4588,1,42,4980207,V9807,2563179,6687275,2563203,6687288,Sepänmäki,Smedsbacken,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23173,4575,1,30,4410212,V4112,2549008,6687834,2549012,6687822,Tuupakka,Stubbacka,Kehä III,Ring III,1,1,1,04,01
23174,4588B,2,19,4950209,V9509,2561191,6682070,2561214,6682093,Kiekkotie,Diskusvägen,Rajakyläntie,Råbyvägen,0,1,1,04,01
23175,4588,1,43,4980209,V9809,2563156,6686903,2563175,6686887,Kalkkiuunintie,Kalkugnsvägen,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23176,4576,1,49,4240218,V2418,2547806,6691623,2547829,6691620,Linnankalliontie,Linnabergsvägen,Riipiläntie,Ripubyvägen,1,1, ,04,01
23177,4588B,2,20,4910201,V9101,2561469,6681802,2561478,6681831,Maalinauhantie,Målsnörsvägen,Keihästie,Spjutvägen,0,1,1,04,01
23178,4576,1,50,4240208,V2408,2547815,6691329,2547841,6691332,Sotilaskorventie,Soldatkärrsvägen,Riipiläntie,Ripubyvägen,1,1, ,04,01
23179,4575,1,31,4210204,V2104,2547787,6687328,2547803,6687341,Kinkerikuja,Läsförhörsgränden,Vantaankoskentie,Vandaforsvägen,1,1,1,04,01
23180,4588,1,44,4980211,V9811,2562930,6686448,2562964,6686448,Mäntykummuntie,Tallkullavägen,Nurmimäentie,Ängsbackavägen,0,1,1,04,01
23181,4588B,2,21,4910215,V9115,2561751,6682015,2561733,6682022,Kuulakuja,Kulgränden,Länsimäentie,Västerkullavägen,0,1,1,04,01
23182,4588,1,45,4980213,V9813,2562888,6685667,2562884,6685643,Nurmimäentie,Ängsbackavägen,Sotungintie,Sottungsbyvägen,0,1,1,04,01
23183,4576,1,51,4230232,V2332,2547785,6691241,2547796,6691225,Riipiläntie,Ripubyvägen,Kenraalintie,Generalsvägen,1,1,0,04,01
23184,4588B,2,22,4910203,V9103,2561790,6682312,2561768,6682313,Pallastunturintie,Pallastunturivägen,Länsimäentie,Västerkullavägen,0,1,1,04,01
